frequency_index,frequency_hz,split,directions,paper_error_db,complex_nmse_db,magnitude_nmse_db
0,2067.1875,unknown,930,-2.162086801695678,-2.3938250372181855,-3.600578306157246
0,2067.1875,known,330,-2.1974936938509813,-2.4184008511423998,-3.6022798982213495
0,2067.1875,all,1260,-2.171330696405535,-2.4002052924775636,-3.6010209270268505
1,4134.375,unknown,930,-0.48488762377031414,-0.5211158035583174,-1.1939295203456
1,4134.375,known,330,-0.5086168359205078,-0.5334704281365978,-1.1943699330045932
1,4134.375,all,1260,-0.49109259585668413,-0.5243261089923541,-1.1940440762243956
2,6201.5625,unknown,930,-0.09082737868462001,-0.13421808012469696,-0.7321516891483116
2,6201.5625,known,330,-0.10931923694025078,-0.13402740160019777,-0.7344007498957268
2,6201.5625,all,1260,-0.09562904576341082,-0.13416888852307898,-0.7327317851179567
3,8268.75,unknown,930,-0.10814846599046876,-0.1423232212488189,-0.7220779610227713
3,8268.75,known,330,-0.09329666896756365,-0.12919523242830339,-0.7037088422554858
3,8268.75,all,1260,-0.10422654207508938,-0.1388608655338183,-0.7172311644732404
4,10335.9375,unknown,930,-0.03927750863963828,-0.0584928072974925,-0.5839777150681473
4,10335.9375,known,330,-0.07470604254984606,-0.06785008228581224,-0.5847207220410523
4,10335.9375,all,1260,-0.048558634376832485,-0.06090787623935667,-0.5841696228153244
5,12403.125,unknown,930,-0.02580760651810353,-0.057398280881397604,-0.5802366755261126
5,12403.125,known,330,-0.06455243685002084,-0.07484127828550008,-0.5777598969026516
5,12403.125,all,1260,-0.03586531306344586,-0.06186610397314085,-0.5796011944836206
6,14470.3125,unknown,930,0.014754827588740718,0.003153946574732224,-0.3054253328090719
6,14470.3125,known,330,-0.05220530467620454,-0.028822127666424963,-0.3090402341538172
6,14470.3125,all,1260,-0.0026919343666944305,-0.00511673036112238,-0.30636259877508537
