sample,frequency_index,frequency_hz,split,directions,paper_error_db,complex_nmse_db,magnitude_nmse_db
0,0,2067.1875,unknown,930,-13.569298963504204,-13.218617327861894,-17.05816234400695
0,0,2067.1875,known,330,-153.47573450651646,-152.8421665180159,-147.27344417936067
0,0,2067.1875,all,1260,-16.201929517624176,-14.527235230398245,-18.36678024654317
0,1,4134.375,unknown,930,-9.518924590318655,-9.701680393136341,-12.71975356142843
0,1,4134.375,known,330,-152.7152678125734,-151.78781482366253,-146.98454613347633
0,1,4134.375,all,1260,-12.154910595539395,-11.010067988873134,-14.028141157165175
0,2,6201.5625,unknown,930,-4.824772486861505,-5.582186713209443,-9.884782731703172
0,2,6201.5625,known,330,-152.1834967694898,-151.36327582252906,-146.42773162927517
0,2,6201.5625,all,1260,-7.438594789450138,-6.878016929210245,-11.180612947703946
0,3,8268.75,unknown,930,-0.11240379945041298,-0.38148517253623304,-6.38357110702295
0,3,8268.75,known,330,-152.82733212128798,-152.13358628286966,-146.26702958510654
0,3,8268.75,all,1260,-2.7737209546864676,-1.70943367515457,-7.711519609641272
0,4,10335.9375,unknown,930,0.34611114605091314,0.31125929995626006,-6.160660124906865
0,4,10335.9375,known,330,-152.8573090263799,-152.22582265010035,-146.7107417505404
0,4,10335.9375,all,1260,-2.2970227792399243,-0.986467542782332,-7.4583869676454455
0,5,12403.125,unknown,930,1.6971071853437993,1.9040735883774904,-7.193219341495151
0,5,12403.125,known,330,-153.41816822217683,-152.4160232404281,-146.8742722695412
0,5,12403.125,all,1260,-0.9184599874892174,0.6167592213868507,-8.480533708485774
0,6,14470.3125,unknown,930,1.663020508640681,1.9712183983605747,-5.843039801039924
0,6,14470.3125,known,330,-152.86834701347036,-151.9587730392896,-146.26204777826666
0,6,14470.3125,all,1260,-0.9675888357095732,0.6672995911609709,-7.146958608239515
1,0,2067.1875,unknown,930,-14.787032944516621,-14.459787132821283,-17.275637191489444
1,0,2067.1875,known,330,-153.47573450651646,-152.8421665180159,-147.27344417936067
1,0,2067.1875,all,1260,-17.419663451854234,-15.768405035357627,-18.584255094025657
1,1,4134.375,unknown,930,-9.763874445250309,-9.67948812884159,-13.151852396709087
1,1,4134.375,known,330,-152.7152678125734,-151.78781482366253,-146.98454613347633
1,1,4134.375,all,1260,-12.39986044437439,-10.987875724578384,-14.460239992445825
1,2,6201.5625,unknown,930,-5.167670652488953,-5.890916231991994,-9.93726233461505
1,2,6201.5625,known,330,-152.1834967694898,-151.36327582252906,-146.42773162927517
1,2,6201.5625,all,1260,-7.781492949814091,-7.186746447992796,-11.233092550615822
1,3,8268.75,unknown,930,-0.38182211745281863,-0.6537358256380482,-6.356772995391996
1,3,8268.75,known,330,-152.82733212128798,-152.13358628286966,-146.26702958510654
1,3,8268.75,all,1260,-3.043139270419288,-1.9816843282563845,-7.684721498010317
1,4,10335.9375,unknown,930,-0.0782216462624814,-0.17512307978753677,-6.226420314702232
1,4,10335.9375,known,330,-152.8573090263799,-152.22582265010035,-146.7107417505404
1,4,10335.9375,all,1260,-2.721355568170767,-1.472849922526128,-7.5241471574408125
1,5,12403.125,unknown,930,1.7036964934039838,1.621559480640071,-6.551803475059804
1,5,12403.125,known,330,-153.41816822217683,-152.4160232404281,-146.8742722695412
1,5,12403.125,all,1260,-0.9118706794696492,0.3342451136494324,-7.839117842050431
1,6,14470.3125,unknown,930,2.308987681948713,2.5851731278354406,-5.586428821175778
1,6,14470.3125,known,330,-152.86834701347036,-151.9587730392896,-146.26204777826666
